 time            vo1             p1              p2             
 0.00000000e+00  9.56859065e-01  0.00000000e+00  1.80000000e+00 
 1.00000000e-12  9.56859065e-01  0.00000000e+00  1.78200000e+00 
 2.00000000e-12  9.56859065e-01  0.00000000e+00  1.76400000e+00 
 4.00000000e-12  9.56859065e-01  0.00000000e+00  1.72800000e+00 
 8.00000000e-12  9.56859065e-01  0.00000000e+00  1.65600000e+00 
 1.60000000e-11  9.56859065e-01  0.00000000e+00  1.51200000e+00 
 3.20000000e-11  9.56859065e-01  0.00000000e+00  1.22400000e+00 
 3.60694444e-11  9.56859065e-01  0.00000000e+00  1.15075000e+00 
 4.31909722e-11  9.56859065e-01  0.00000000e+00  1.02256250e+00 
 5.10755208e-11  9.56859154e-01  0.00000000e+00  8.80640625e-01 
 6.68446181e-11  9.56859154e-01  0.00000000e+00  5.96796875e-01 
 9.83828125e-11  9.56859154e-01  0.00000000e+00  2.91093750e-02 
 1.00000000e-10  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 1.03234375e-10  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 1.09703125e-10  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 1.22640625e-10  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 1.48515625e-10  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 2.00265625e-10  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 3.03765625e-10  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 5.10765625e-10  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 9.24765625e-10  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 1.75276563e-09  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 3.40876563e-09  9.56859154e-01  0.00000000e+00  0.00000000e+00 
 5.00000000e-09  9.56859155e-01  0.00000000e+00  0.00000000e+00 
 5.01000000e-09  9.56859155e-01  1.80000000e-01  0.00000000e+00 
 5.02777778e-09  9.56859155e-01  5.00000000e-01  0.00000000e+00 
 5.03263889e-09  9.56859154e-01  5.87500000e-01  0.00000000e+00 
 5.04114583e-09  9.56859155e-01  7.40625000e-01  0.00000000e+00 
