 time            vo1             vo2             p1              p2             
 1.00000000e-12  7.49236511e-01  7.49222277e-01  0.00000000e+00  1.48500000e+00 
 1.02230405e-12  7.49236375e-01  7.49222005e-01  0.00000000e+00  1.48466544e+00 
 1.06691216e-12  7.49236144e-01  7.49221543e-01  0.00000000e+00  1.48399632e+00 
 1.15612838e-12  7.49235979e-01  7.49221213e-01  0.00000000e+00  1.48265807e+00 
 1.28735012e-12  7.49236257e-01  7.49221769e-01  0.00000000e+00  1.48068975e+00 
 1.50489739e-12  7.49237356e-01  7.49223968e-01  0.00000000e+00  1.47742654e+00 
 1.76315483e-12  7.49239067e-01  7.49227389e-01  0.00000000e+00  1.47355268e+00 
 2.21544571e-12  7.49242371e-01  7.49233997e-01  0.00000000e+00  1.46676831e+00 
 2.97727234e-12  7.49248422e-01  7.49246095e-01  0.00000000e+00  1.45534091e+00 
 4.50092561e-12  7.49262324e-01  7.49273895e-01  0.00000000e+00  1.43248612e+00 
 7.54823214e-12  7.49297169e-01  7.49343574e-01  0.00000000e+00  1.38677652e+00 
 1.36428452e-11  7.49391916e-01  7.49533036e-01  0.00000000e+00  1.29535732e+00 
 2.23715942e-11  7.49575941e-01  7.49901026e-01  0.00000000e+00  1.16442609e+00 
 3.22193836e-11  7.49834458e-01  7.50417974e-01  0.00000000e+00  1.01670925e+00 
 4.00804991e-11  7.50068124e-01  7.50885228e-01  0.00000000e+00  8.98792513e-01 
 4.34700548e-11  7.50174636e-01  7.51098218e-01  0.00000000e+00  8.47949178e-01 
 4.61075534e-11  7.50259243e-01  7.51267404e-01  0.00000000e+00  8.08386700e-01 
 4.82104321e-11  7.50327552e-01  7.51403998e-01  0.00000000e+00  7.76843518e-01 
 5.00849967e-11  7.50347057e-01  7.51443003e-01  0.00000000e+00  7.48725049e-01 
 5.18971002e-11  7.50353271e-01  7.51455428e-01  0.00000000e+00  7.21543498e-01 
 5.36519317e-11  7.50355255e-01  7.51459396e-01  0.00000000e+00  6.95221024e-01 
 5.64809834e-11  7.50356476e-01  7.51461837e-01  0.00000000e+00  6.52785249e-01 
 6.02434524e-11  7.50357066e-01  7.51463017e-01  0.00000000e+00  5.96348213e-01 
 6.36366043e-11  7.50357237e-01  7.51463359e-01  0.00000000e+00  5.45450936e-01 
 6.96084377e-11  7.50357355e-01  7.51463594e-01  0.00000000e+00  4.55873434e-01 
 7.93892074e-11  7.50357428e-01  7.51463741e-01  0.00000000e+00  3.09161889e-01 
 9.89507468e-11  7.50357487e-01  7.51463859e-01  0.00000000e+00  1.57387984e-02 
 1.00000000e-10  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 1.02098506e-10  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 1.06295519e-10  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 1.14689545e-10  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 1.31477597e-10  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 1.65053700e-10  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 2.32205906e-10  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 3.27233699e-10  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 4.60799247e-10  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 6.69888979e-10  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 1.00848215e-09  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 1.51088857e-09  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 2.31797622e-09  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 3.53990767e-09  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
 5.00000000e-09  7.50357487e-01  7.51463859e-01  0.00000000e+00  0.00000000e+00 
