 time            vcmp            p1              p2             
 0.00000000e+00  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-09  1.50000243e+00  1.50000000e-02  0.00000000e+00 
 2.00000000e-09  1.50000246e+00  3.00000000e-02  0.00000000e+00 
 4.00000000e-09  1.50000248e+00  6.00000000e-02  0.00000000e+00 
 8.00000000e-09  1.50000253e+00  1.20000000e-01  0.00000000e+00 
 1.30261883e-08  1.50000259e+00  1.95392825e-01  0.00000000e+00 
 1.73627343e-08  1.50000266e+00  2.60441015e-01  0.00000000e+00 
 2.21198583e-08  1.50000274e+00  3.31797874e-01  0.00000000e+00 
 2.54659567e-08  1.50000280e+00  3.81989350e-01  0.00000000e+00 
 2.91567797e-08  1.50000287e+00  4.37351695e-01  0.00000000e+00 
 3.31813816e-08  1.50000295e+00  4.97720724e-01  0.00000000e+00 
 4.12305854e-08  1.50000313e+00  6.18458781e-01  0.00000000e+00 
 4.25277665e-08  1.50000316e+00  6.37916498e-01  0.00000000e+00 
 4.51221289e-08  1.50000322e+00  6.76831933e-01  0.00000000e+00 
 4.57313342e-08  1.50000323e+00  6.85970013e-01  0.00000000e+00 
 4.69497449e-08  1.50000326e+00  7.04246174e-01  0.00000000e+00 
 4.93865663e-08  1.50000331e+00  7.40798495e-01  0.00000000e+00 
 4.98715767e-08  1.50000332e+00  7.48073650e-01  0.00000000e+00 
 4.99615139e-08  1.50000332e+00  7.49422709e-01  0.00000000e+00 
 4.99942129e-08  1.50000332e+00  7.49913194e-01  0.00000000e+00 
 4.99988882e-08  1.50000332e+00  7.49983323e-01  0.00000000e+00 
 4.99999061e-08  1.50000332e+00  7.49998592e-01  0.00000000e+00 
 5.00000954e-08  1.50284467e+00  7.50001430e-01  0.00000000e+00 
 5.00001401e-08  1.50306450e+00  7.50002102e-01  0.00000000e+00 
 5.00001667e-08  1.50314028e+00  7.50002501e-01  0.00000000e+00 
 5.00002048e-08  1.50320753e+00  7.50003072e-01  0.00000000e+00 
 5.00002212e-08  1.50322444e+00  7.50003318e-01  0.00000000e+00 
 5.00002415e-08  1.50323837e+00  7.50003622e-01  0.00000000e+00 
 5.00002678e-08  1.50324804e+00  7.50004017e-01  0.00000000e+00 
 5.00002927e-08  1.50325032e+00  7.50004391e-01  0.00000000e+00 
 5.00003257e-08  1.50324547e+00  7.50004886e-01  0.00000000e+00 
 5.00003588e-08  1.50323345e+00  7.50005383e-01  0.00000000e+00 
 5.00004023e-08  1.50320928e+00  7.50006035e-01  0.00000000e+00 
 5.00004499e-08  1.50317448e+00  7.50006749e-01  0.00000000e+00 
 5.00005145e-08  1.50311755e+00  7.50007718e-01  0.00000000e+00 
 5.00005937e-08  1.50303777e+00  7.50008906e-01  0.00000000e+00 
 5.00007122e-08  1.50290810e+00  7.50010683e-01  0.00000000e+00 
 5.00008904e-08  1.50270683e+00  7.50013356e-01  0.00000000e+00 
 5.00012468e-08  1.50232289e+00  7.50018702e-01  0.00000000e+00 
 5.00019596e-08  1.50167896e+00  7.50029393e-01  0.00000000e+00 
 5.00032703e-08  1.50084872e+00  7.50049054e-01  0.00000000e+00 
 5.00058917e-08  1.49997221e+00  7.50088376e-01  0.00000000e+00 
 5.00111346e-08  1.49945763e+00  7.50167019e-01  0.00000000e+00 
 5.00190505e-08  1.49953352e+00  7.50285757e-01  0.00000000e+00 
 5.00286998e-08  1.49978625e+00  7.50430496e-01  0.00000000e+00 
 5.00432186e-08  1.49997910e+00  7.50648279e-01  0.00000000e+00 
 5.00656735e-08  1.50003866e+00  7.50985103e-01  0.00000000e+00 
 5.01105834e-08  1.50002208e+00  7.51658751e-01  0.00000000e+00 
 5.02004032e-08  1.50000311e+00  7.53006047e-01  0.00000000e+00 
 5.03800426e-08  1.50000201e+00  7.55700640e-01  0.00000000e+00 
 5.06660705e-08  1.50000328e+00  7.59991058e-01  0.00000000e+00 
 5.10698016e-08  1.50000335e+00  7.66047024e-01  0.00000000e+00 
 5.18062632e-08  1.50000333e+00  7.77093948e-01  0.00000000e+00 
 5.30796800e-08  1.50000337e+00  7.96195201e-01  0.00000000e+00 
 5.49843622e-08  1.50000340e+00  8.24765432e-01  0.00000000e+00 
 5.83448884e-08  1.50000343e+00  8.75173327e-01  0.00000000e+00 
 6.48625632e-08  1.50000340e+00  9.72938449e-01  0.00000000e+00 
 7.53156022e-08  1.50000261e+00  1.12973403e+00  0.00000000e+00 
 8.78722577e-08  1.50000111e+00  1.31808387e+00  0.00000000e+00 
 1.00000000e-07  1.50000144e+00  1.50000000e+00  0.00000000e+00 
 1.00907932e-07  1.49999955e+00  1.50000000e+00  0.00000000e+00 
 1.02723797e-07  1.49999952e+00  1.50000000e+00  0.00000000e+00 
 1.06355527e-07  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 1.13618987e-07  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 1.28145907e-07  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 1.57199746e-07  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 2.05916985e-07  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 2.64812964e-07  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 3.59319397e-07  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 5.06481471e-07  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 8.00805619e-07  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 1.38945392e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 2.10000000e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 2.11000000e-06  1.49999752e+00  1.35000000e+00  0.00000000e+00 
 2.13000000e-06  1.49999681e+00  1.05000000e+00  0.00000000e+00 
 2.13458333e-06  1.49999567e+00  9.81250000e-01  0.00000000e+00 
 2.14260417e-06  1.49999555e+00  8.60937500e-01  0.00000000e+00 
 2.15148437e-06  1.49999577e+00  7.27734375e-01  0.00000000e+00 
 2.16924479e-06  1.49999624e+00  4.61328125e-01  0.00000000e+00 
 2.17858995e-06  1.49999646e+00  3.21150770e-01  0.00000000e+00 
 2.19079158e-06  1.49999667e+00  1.38126333e-01  0.00000000e+00 
 2.20000000e-06  1.49999678e+00  0.00000000e+00  0.00000000e+00 
 2.20100034e-06  1.49999959e+00  0.00000000e+00  0.00000000e+00 
 2.20300102e-06  1.49999962e+00  0.00000000e+00  0.00000000e+00 
 2.20700237e-06  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 2.21500509e-06  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 2.23101052e-06  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 2.25000000e-06  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 2.25291413e-06  1.49999961e+00  0.00000000e+00  4.37119723e-02 
 2.25874239e-06  1.49999961e+00  0.00000000e+00  1.31135917e-01 
 2.27039892e-06  1.49999961e+00  0.00000000e+00  3.05983806e-01 
 2.27844827e-06  1.49999961e+00  0.00000000e+00  4.26724118e-01 
 2.28587137e-06  1.49999961e+00  0.00000000e+00  5.38070562e-01 
 2.28935382e-06  1.49999961e+00  0.00000000e+00  5.90307332e-01 
 2.29544811e-06  1.49999961e+00  0.00000000e+00  6.81721679e-01 
 2.29645204e-06  1.49999961e+00  0.00000000e+00  6.96780566e-01 
 2.29845989e-06  1.49999961e+00  0.00000000e+00  7.26898342e-01 
 2.29893139e-06  1.49999961e+00  0.00000000e+00  7.33970859e-01 
 2.29987439e-06  1.49999961e+00  0.00000000e+00  7.48115893e-01 
 2.29996425e-06  1.49999961e+00  0.00000000e+00  7.49463793e-01 
 2.29999521e-06  1.49999961e+00  0.00000000e+00  7.49928197e-01 
 2.30000395e-06  1.51630358e+00  0.00000000e+00  7.50059277e-01 
 2.30000905e-06  1.50991723e+00  0.00000000e+00  7.50135754e-01 
 2.30001429e-06  1.50519643e+00  0.00000000e+00  7.50214410e-01 
 2.30001986e-06  1.50215466e+00  0.00000000e+00  7.50297918e-01 
 2.30003100e-06  1.49920390e+00  0.00000000e+00  7.50464934e-01 
 2.30005326e-06  1.49778115e+00  0.00000000e+00  7.50798965e-01 
 2.30009471e-06  1.49816031e+00  0.00000000e+00  7.51420615e-01 
 2.30014690e-06  1.49892437e+00  0.00000000e+00  7.52203552e-01 
 2.30022427e-06  1.49954429e+00  0.00000000e+00  7.53364121e-01 
 2.30028097e-06  1.49977829e+00  0.00000000e+00  7.54214552e-01 
 2.30034531e-06  1.49991541e+00  0.00000000e+00  7.55179604e-01 
 2.30040428e-06  1.49997065e+00  0.00000000e+00  7.56064163e-01 
 2.30048016e-06  1.49999730e+00  0.00000000e+00  7.57202393e-01 
 2.30056635e-06  1.50000432e+00  0.00000000e+00  7.58495243e-01 
 2.30069289e-06  1.50000388e+00  0.00000000e+00  7.60393374e-01 
 2.30086741e-06  1.50000126e+00  0.00000000e+00  7.63011178e-01 
 2.30118549e-06  1.49999945e+00  0.00000000e+00  7.67782284e-01 
 2.30182042e-06  1.49999927e+00  0.00000000e+00  7.77306248e-01 
 2.30263881e-06  1.49999955e+00  0.00000000e+00  7.89582082e-01 
 2.30372007e-06  1.49999963e+00  0.00000000e+00  8.05801114e-01 
 2.30509648e-06  1.49999962e+00  0.00000000e+00  8.26447201e-01 
 2.30719003e-06  1.49999960e+00  0.00000000e+00  8.57850468e-01 
 2.31060655e-06  1.49999959e+00  0.00000000e+00  9.09098185e-01 
 2.31559307e-06  1.49999959e+00  0.00000000e+00  9.83896109e-01 
 2.32129948e-06  1.49999959e+00  0.00000000e+00  1.06949215e+00 
 2.32905772e-06  1.49999959e+00  0.00000000e+00  1.18586582e+00 
 2.33901937e-06  1.49999960e+00  0.00000000e+00  1.33529053e+00 
 2.35000000e-06  1.49999960e+00  0.00000000e+00  1.50000000e+00 
 2.35141574e-06  1.49999960e+00  0.00000000e+00  1.50000000e+00 
 2.35424722e-06  1.49999960e+00  0.00000000e+00  1.50000000e+00 
 2.35991018e-06  1.49999960e+00  0.00000000e+00  1.50000000e+00 
 2.37123610e-06  1.49999960e+00  0.00000000e+00  1.50000000e+00 
 2.39388794e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.41645540e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.44590598e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.47623801e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.51520981e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.55862826e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.61534603e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.68241814e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.77203976e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 2.88598378e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 3.05044937e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 3.29624184e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 3.76325897e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 4.35000000e-06  1.49999961e+00  0.00000000e+00  1.50000000e+00 
 4.36000000e-06  1.49999961e+00  0.00000000e+00  1.35000000e+00 
 4.38000000e-06  1.49999961e+00  0.00000000e+00  1.05000000e+00 
 4.38458333e-06  1.49999961e+00  0.00000000e+00  9.81250000e-01 
 4.39260417e-06  1.49999961e+00  0.00000000e+00  8.60937500e-01 
 4.40148437e-06  1.49999961e+00  0.00000000e+00  7.27734375e-01 
 4.41924479e-06  1.49999961e+00  0.00000000e+00  4.61328125e-01 
 4.45000000e-06  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 4.45355208e-06  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 4.46065625e-06  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 4.47486458e-06  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 4.50000000e-06  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 4.50190946e-06  1.50000244e+00  2.86419376e-02  0.00000000e+00 
 4.50572839e-06  1.50000251e+00  8.59258129e-02  0.00000000e+00 
 4.51336624e-06  1.50000259e+00  2.00493563e-01  0.00000000e+00 
 4.51826450e-06  1.50000267e+00  2.73967483e-01  0.00000000e+00 
 4.52237483e-06  1.50000274e+00  3.35622406e-01  0.00000000e+00 
 4.52695317e-06  1.50000282e+00  4.04297573e-01  0.00000000e+00 
 4.53107104e-06  1.50000291e+00  4.66065535e-01  0.00000000e+00 
 4.53558443e-06  1.50000300e+00  5.33766438e-01  0.00000000e+00 
 4.54295935e-06  1.50000317e+00  6.44390255e-01  0.00000000e+00 
 4.54422002e-06  1.50000320e+00  6.63300297e-01  0.00000000e+00 
 4.54674136e-06  1.50000325e+00  7.01120381e-01  0.00000000e+00 
 4.54733338e-06  1.50000327e+00  7.10000671e-01  0.00000000e+00 
 4.54851742e-06  1.50000329e+00  7.27761253e-01  0.00000000e+00 
 4.54879542e-06  1.50000330e+00  7.31931346e-01  0.00000000e+00 
 4.54935144e-06  1.50000331e+00  7.40271533e-01  0.00000000e+00 
 4.54948198e-06  1.50000331e+00  7.42229732e-01  0.00000000e+00 
 4.54974308e-06  1.50000332e+00  7.46146129e-01  0.00000000e+00 
 4.54980438e-06  1.50000332e+00  7.47065655e-01  0.00000000e+00 
 4.54992698e-06  1.50000332e+00  7.48904708e-01  0.00000000e+00 
 4.54995577e-06  1.50000332e+00  7.49336496e-01  0.00000000e+00 
 4.54996550e-06  1.50000332e+00  7.49482496e-01  0.00000000e+00 
 4.54998497e-06  1.50000332e+00  7.49774497e-01  0.00000000e+00 
 4.54998954e-06  1.50000332e+00  7.49843055e-01  0.00000000e+00 
 4.54999868e-06  1.50000332e+00  7.49980171e-01  0.00000000e+00 
 4.54999950e-06  1.50000332e+00  7.49992458e-01  0.00000000e+00 
 4.54999988e-06  1.50000332e+00  7.49998261e-01  0.00000000e+00 
 4.54999999e-06  1.50000332e+00  7.49999908e-01  0.00000000e+00 
 4.55000002e-06  1.50475749e+00  7.50000334e-01  0.00000000e+00 
 4.55000003e-06  1.50565625e+00  7.50000516e-01  0.00000000e+00 
 4.55000005e-06  1.50608015e+00  7.50000677e-01  0.00000000e+00 
 4.55000006e-06  1.50647643e+00  7.50000893e-01  0.00000000e+00 
 4.55000008e-06  1.50689733e+00  7.50001204e-01  0.00000000e+00 
 4.55000010e-06  1.50714457e+00  7.50001453e-01  0.00000000e+00 
 4.55000011e-06  1.50732307e+00  7.50001691e-01  0.00000000e+00 
 4.55000013e-06  1.50747536e+00  7.50001954e-01  0.00000000e+00 
 4.55000015e-06  1.50758289e+00  7.50002194e-01  0.00000000e+00 
 4.55000016e-06  1.50767849e+00  7.50002464e-01  0.00000000e+00 
 4.55000018e-06  1.50775087e+00  7.50002723e-01  0.00000000e+00 
 4.55000020e-06  1.50781411e+00  7.50003013e-01  0.00000000e+00 
 4.55000022e-06  1.50786238e+00  7.50003304e-01  0.00000000e+00 
 4.55000024e-06  1.50790137e+00  7.50003629e-01  0.00000000e+00 
 4.55000026e-06  1.50792797e+00  7.50003968e-01  0.00000000e+00 
 4.55000029e-06  1.50794346e+00  7.50004351e-01  0.00000000e+00 
 4.55000032e-06  1.50794559e+00  7.50004768e-01  0.00000000e+00 
 4.55000035e-06  1.50793222e+00  7.50005250e-01  0.00000000e+00 
 4.55000039e-06  1.50790022e+00  7.50005797e-01  0.00000000e+00 
 4.55000043e-06  1.50784314e+00  7.50006454e-01  0.00000000e+00 
 4.55000048e-06  1.50775386e+00  7.50007246e-01  0.00000000e+00 
 4.55000055e-06  1.50761648e+00  7.50008262e-01  0.00000000e+00 
 4.55000064e-06  1.50740924e+00  7.50009610e-01  0.00000000e+00 
 4.55000077e-06  1.50708141e+00  7.50011582e-01  0.00000000e+00 
 4.55000099e-06  1.50652648e+00  7.50014846e-01  0.00000000e+00 
 4.55000142e-06  1.50548504e+00  7.50021375e-01  0.00000000e+00 
 4.55000230e-06  1.50377638e+00  7.50034432e-01  0.00000000e+00 
 4.55000392e-06  1.50161306e+00  7.50058823e-01  0.00000000e+00 
 4.55000717e-06  1.49949820e+00  7.50107604e-01  0.00000000e+00 
 4.55001270e-06  1.49862049e+00  7.50190462e-01  0.00000000e+00 
 4.55001854e-06  1.49887859e+00  7.50278077e-01  0.00000000e+00 
 4.55002660e-06  1.49940994e+00  7.50398951e-01  0.00000000e+00 
 4.55003647e-06  1.49980659e+00  7.50547055e-01  0.00000000e+00 
 4.55005281e-06  1.50003246e+00  7.50792181e-01  0.00000000e+00 
 4.55008271e-06  1.50006574e+00  7.51240629e-01  0.00000000e+00 
 4.55014250e-06  1.50001955e+00  7.52137524e-01  0.00000000e+00 
 4.55025279e-06  1.50000024e+00  7.53791828e-01  0.00000000e+00 
 4.55045529e-06  1.50000201e+00  7.56829412e-01  0.00000000e+00 
 4.55065983e-06  1.50000327e+00  7.59897448e-01  0.00000000e+00 
 4.55100707e-06  1.50000328e+00  7.65106100e-01  0.00000000e+00 
 4.55149917e-06  1.50000326e+00  7.72487507e-01  0.00000000e+00 
 4.55248335e-06  1.50000334e+00  7.87250321e-01  0.00000000e+00 
 4.55369574e-06  1.50000337e+00  8.05436102e-01  0.00000000e+00 
 4.55575147e-06  1.50000339e+00  8.36272123e-01  0.00000000e+00 
 4.55875144e-06  1.50000341e+00  8.81271666e-01  0.00000000e+00 
 4.56475138e-06  1.50000338e+00  9.71270753e-01  0.00000000e+00 
 4.57146562e-06  1.50000299e+00  1.07198435e+00  0.00000000e+00 
 4.58114479e-06  1.50000158e+00  1.21717188e+00  0.00000000e+00 
 4.59274605e-06  1.50000128e+00  1.39119073e+00  0.00000000e+00 
 4.60000000e-06  1.50000151e+00  1.50000000e+00  0.00000000e+00 
 4.60079978e-06  1.49999955e+00  1.50000000e+00  0.00000000e+00 
 4.60239934e-06  1.49999951e+00  1.50000000e+00  0.00000000e+00 
 4.60559847e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.61199671e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.62479321e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.65038620e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.68290094e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.72554387e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.78040769e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.85997822e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 4.99037507e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 5.25116876e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 5.77275613e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 6.60000000e-06  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 6.61000000e-06  1.49999752e+00  1.35000000e+00  0.00000000e+00 
