 time            vo1             p1              p2             
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00 
 1.00000000e-12 -1.13686838e-13  0.00000000e+00  1.78200000e+00 
 2.00000000e-12 -2.27373675e-13  0.00000000e+00  1.76400000e+00 
 4.00000000e-12 -2.27373675e-13  0.00000000e+00  1.72800000e+00 
 8.00000000e-12 -1.13686838e-13  0.00000000e+00  1.65600000e+00 
 1.60000000e-11  1.13686838e-13  0.00000000e+00  1.51200000e+00 
 3.20000000e-11  2.27373675e-13  0.00000000e+00  1.22400000e+00 
 3.60694444e-11  3.41060513e-13  0.00000000e+00  1.15075000e+00 
 4.31909722e-11  5.68434189e-13  0.00000000e+00  1.02256250e+00 
 5.10755208e-11  4.54747351e-13  0.00000000e+00  8.80640625e-01 
 6.68446181e-11  1.13686838e-13  0.00000000e+00  5.96796875e-01 
 9.83828125e-11 -5.68434189e-13  0.00000000e+00  2.91093750e-02 
 1.00000000e-10 -6.82121026e-13  0.00000000e+00  0.00000000e+00 
 1.03234375e-10 -6.82121026e-13  0.00000000e+00  0.00000000e+00 
 1.09703125e-10 -7.95807864e-13  0.00000000e+00  0.00000000e+00 
 1.22640625e-10 -1.25055521e-12  0.00000000e+00  0.00000000e+00 
 1.48515625e-10 -1.93267624e-12  0.00000000e+00  0.00000000e+00 
 2.00265625e-10 -3.41060513e-12  0.00000000e+00  0.00000000e+00 
 3.03765625e-10 -6.36646291e-12  0.00000000e+00  0.00000000e+00 
 5.10765625e-10 -1.25055521e-11  0.00000000e+00  0.00000000e+00 
 9.24765625e-10 -2.45563569e-11  0.00000000e+00  0.00000000e+00 
 1.75276563e-09 -4.85442797e-11  0.00000000e+00  0.00000000e+00 
 3.40876563e-09 -9.61790647e-11  0.00000000e+00  0.00000000e+00 
 5.00000000e-09 -1.42108547e-10  0.00000000e+00  0.00000000e+00 
 5.01000000e-09 -1.42222234e-10  1.80000000e-01  0.00000000e+00 
 5.02777778e-09 -1.42676981e-10  5.00000000e-01  0.00000000e+00 
 5.03263889e-09 -1.42790668e-10  5.87500000e-01  0.00000000e+00 
 5.04114583e-09 -1.43018042e-10  7.40625000e-01  0.00000000e+00 
 5.04254678e-09 -1.43018042e-10  7.65842108e-01  0.00000000e+00 
 5.04534868e-09 -1.43131729e-10  8.16276324e-01  0.00000000e+00 
 5.04600653e-09 -1.43131729e-10  8.28117630e-01  0.00000000e+00 
 5.04732224e-09 -1.43131729e-10  8.51800241e-01  0.00000000e+00 
 5.04995364e-09 -1.43018042e-10  8.99165465e-01  0.00000000e+00 
 5.05020173e-09 -3.49007829e-02  9.03631096e-01  0.00000000e+00 
 5.05028214e-09 -4.16666268e-02  9.05078604e-01  0.00000000e+00 
 5.05034060e-09 -4.45624698e-02  9.06130764e-01  0.00000000e+00 
 5.05038566e-09 -4.58462038e-02  9.06941841e-01  0.00000000e+00 
 5.05042061e-09 -4.64422677e-02  9.07571003e-01  0.00000000e+00 
 5.05045915e-09 -4.68480292e-02  9.08264630e-01  0.00000000e+00 
 5.05050243e-09 -4.71148519e-02  9.09043725e-01  0.00000000e+00 
 5.05055158e-09 -4.72793592e-02  9.09928353e-01  0.00000000e+00 
 5.05061154e-09 -4.73763503e-02  9.11007797e-01  0.00000000e+00 
 5.05068416e-09 -4.74226790e-02  9.12314868e-01  0.00000000e+00 
 5.05077839e-09 -4.74387187e-02  9.14010974e-01  0.00000000e+00 
 5.05090370e-09 -4.74388478e-02  9.16266541e-01  0.00000000e+00 
 5.05108870e-09 -4.74342888e-02  9.19596614e-01  0.00000000e+00 
 5.05139678e-09 -4.74311205e-02  9.25142001e-01  0.00000000e+00 
 5.05201293e-09 -4.74305722e-02  9.36232774e-01  0.00000000e+00 
 5.05324524e-09 -4.74309250e-02  9.58414321e-01  0.00000000e+00 
 5.05558755e-09 -4.74310225e-02  1.00057586e+00  0.00000000e+00 
 5.06027216e-09 -4.74310153e-02  1.08489893e+00  0.00000000e+00 
 5.06964139e-09 -4.74310127e-02  1.25354508e+00  0.00000000e+00 
 5.08837985e-09 -4.74310128e-02  1.59083738e+00  0.00000000e+00 
 5.10000000e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 5.10374769e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 5.11124308e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 5.12623385e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 5.15621538e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 5.21617846e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 5.33610461e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 5.57595691e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 6.05566151e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 7.01507071e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 8.93388910e-09 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 1.27715259e-08 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 2.04467995e-08 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 3.04467995e-08 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 4.04467995e-08 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
 5.04467995e-08 -4.74310128e-02  1.80000000e+00  0.00000000e+00 
