 time            vo1             vo2             vcmp            p1              p2             
 0.00000000e+00  8.76088354e-08  6.68780389e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-09  1.96212135e-04  6.80548508e-02  1.50000243e+00  1.50000000e-02  0.00000000e+00 
 2.00000000e-09  3.92023455e-04  6.92297234e-02  1.50000246e+00  3.00000000e-02  0.00000000e+00 
 4.00000000e-09  7.84121629e-04  7.15823286e-02  1.50000248e+00  6.00000000e-02  0.00000000e+00 
 8.00000000e-09  1.52491536e-03  7.60269677e-02  1.50000253e+00  1.20000000e-01  0.00000000e+00 
 1.31373764e-08  1.67542473e-03  7.69299142e-02  1.50000259e+00  1.97060646e-01  0.00000000e+00 
 1.80640240e-08 -2.88082346e-03  4.95926553e-02  1.50000267e+00  2.70960360e-01  0.00000000e+00 
 2.21577603e-08 -6.07296282e-03  3.04397996e-02  1.50000274e+00  3.32366404e-01  0.00000000e+00 
 2.65056364e-08 -6.76830730e-03  2.62677267e-02  1.50000282e+00  3.97584546e-01  0.00000000e+00 
 3.08582390e-08 -7.24014249e-03  2.34367094e-02  1.50000290e+00  4.62873586e-01  0.00000000e+00 
 3.56650645e-08 -7.72196097e-03  2.05455983e-02  1.50000301e+00  5.34975967e-01  0.00000000e+00 
 4.25393613e-08 -8.31940384e-03  1.69611635e-02  1.50000316e+00  6.38090419e-01  0.00000000e+00 
 4.38068165e-08 -8.41744315e-03  1.63735823e-02  1.50000319e+00  6.57102247e-01  0.00000000e+00 
 4.63417268e-08 -8.60111737e-03  1.52708857e-02  1.50000325e+00  6.95125902e-01  0.00000000e+00 
 4.69369716e-08 -8.64209636e-03  1.50258637e-02  1.50000326e+00  7.04054575e-01  0.00000000e+00 
 4.81274613e-08 -8.72091747e-03  1.45520481e-02  1.50000328e+00  7.21911919e-01  0.00000000e+00 
 4.84069906e-08 -8.73937912e-03  1.44439256e-02  1.50000329e+00  7.26104860e-01  0.00000000e+00 
 4.89660494e-08 -8.77481983e-03  1.42312824e-02  1.50000330e+00  7.34490742e-01  0.00000000e+00 
 4.90973132e-08 -8.78185228e-03  1.41820511e-02  1.50000330e+00  7.36459698e-01  0.00000000e+00 
 4.93598406e-08 -8.79870598e-03  1.40843855e-02  1.50000331e+00  7.40397609e-01  0.00000000e+00 
