 time            vo1             vo2             p1              p2             
 0.00000000e+00  7.37877687e-02  4.84608531e-02  0.00000000e+00  0.00000000e+00 
 1.00000000e-10  7.37879072e-02  4.84608218e-02  1.50000000e-03  0.00000000e+00 
 2.00000000e-10  7.37879072e-02  4.84608219e-02  3.00000000e-03  0.00000000e+00 
 4.00000000e-10  7.37879102e-02  4.84608256e-02  6.00000000e-03  0.00000000e+00 
 8.00000000e-10  7.37877327e-02  4.84608504e-02  1.20000000e-02  0.00000000e+00 
 1.60000000e-09  7.37877331e-02  4.84608547e-02  2.40000000e-02  0.00000000e+00 
 3.20000000e-09  7.37877676e-02  4.84608531e-02  4.80000000e-02  0.00000000e+00 
 6.40000000e-09  7.37877673e-02  4.84608546e-02  9.60000000e-02  0.00000000e+00 
 1.28000000e-08  7.37877688e-02  4.84608570e-02  1.92000000e-01  0.00000000e+00 
 2.28000000e-08  7.37877675e-02  4.84608593e-02  3.42000000e-01  0.00000000e+00 
 3.28000000e-08  7.37877680e-02  4.84608623e-02  4.92000000e-01  0.00000000e+00 
 4.15333333e-08  7.37877662e-02  4.84608644e-02  6.23000000e-01  0.00000000e+00 
 5.12166667e-08  7.49981707e-01  2.49999536e-01  7.68250000e-01  0.00000000e+00 
 6.12166667e-08  7.49981573e-01  2.49999534e-01  9.18250000e-01  0.00000000e+00 
 7.12166667e-08  7.49981428e-01  2.49999532e-01  1.06825000e+00  0.00000000e+00 
 8.12166667e-08  7.49981279e-01  2.49999529e-01  1.21825000e+00  0.00000000e+00 
 9.12166667e-08  7.49981130e-01  2.49999527e-01  1.36825000e+00  0.00000000e+00 
 1.00000000e-07  7.49980998e-01  2.49999525e-01  1.50000000e+00  0.00000000e+00 
 1.01000000e-07  7.49980983e-01  2.49999533e-01  1.50000000e+00  0.00000000e+00 
 1.03000000e-07  7.49980953e-01  2.49999523e-01  1.50000000e+00  0.00000000e+00 
 1.07000000e-07  7.49980893e-01  2.49999522e-01  1.50000000e+00  0.00000000e+00 
 1.15000000e-07  7.49980773e-01  2.49999521e-01  1.50000000e+00  0.00000000e+00 
 1.25000000e-07  7.49980623e-01  2.49999520e-01  1.50000000e+00  0.00000000e+00 
 1.35000000e-07  7.49980473e-01  2.49999516e-01  1.50000000e+00  0.00000000e+00 
 1.45000000e-07  7.49980323e-01  2.49999514e-01  1.50000000e+00  0.00000000e+00 
 1.55000000e-07  7.49980173e-01  2.49999512e-01  1.50000000e+00  0.00000000e+00 
 1.65000000e-07  7.49980023e-01  2.49999509e-01  1.50000000e+00  0.00000000e+00 
 1.75000000e-07  7.49979873e-01  2.49999507e-01  1.50000000e+00  0.00000000e+00 
 1.85000000e-07  7.49979723e-01  2.49999505e-01  1.50000000e+00  0.00000000e+00 
