 time            vo1             vo2             vcmp            p1              p2             
 0.00000000e+00  2.08785144e-01  2.08779019e-01  1.49999961e+00  9.27658580e-08  1.49999994e+00 
 2.00000000e-10  2.08785145e-01  2.08779020e-01  1.49999961e+00  9.27660587e-08  1.49999994e+00 
 4.00000000e-10  2.08785148e-01  2.08779024e-01  1.49999961e+00  9.27666002e-08  1.49999994e+00 
 8.00000000e-10  2.08785156e-01  2.08779035e-01  1.49999961e+00  9.27668008e-08  1.49999994e+00 
 1.60000000e-09  2.08785169e-01  2.08779054e-01  1.49999961e+00  9.27666906e-08  1.49999994e+00 
 3.20000000e-09  2.08785188e-01  2.08779085e-01  1.49999961e+00  9.27663605e-08  1.49999994e+00 
 4.39276196e-09  2.08785198e-01  2.08779100e-01  1.49999961e+00  9.27662097e-08  1.49999994e+00 
 5.61886840e-09  2.08785206e-01  2.08779111e-01  1.49999961e+00  9.27661066e-08  1.49999994e+00 
 6.38687727e-09  2.08785209e-01  2.08779117e-01  1.49999961e+00  9.27660537e-08  1.49999994e+00 
 7.22897038e-09  2.08785213e-01  2.08779121e-01  1.49999961e+00  9.27660017e-08  1.49999994e+00 
 8.25585881e-09  2.08785216e-01  2.08779125e-01  1.49999961e+00  9.27659513e-08  1.49999994e+00 
 9.09784895e-09  2.08785217e-01  2.08779127e-01  1.49999961e+00  9.27659175e-08  1.49999994e+00 
 9.65697990e-09  2.08785218e-01  2.08779128e-01  1.49999961e+00  9.27658996e-08  1.49999994e+00 
 1.02683324e-08  2.08785219e-01  2.08779129e-01  1.49999961e+00  9.27658805e-08  1.49999994e+00 
 1.09742706e-08  2.08785220e-01  2.08779129e-01  1.49999961e+00  9.27658661e-08  1.49999994e+00 
 1.23861470e-08  2.08785221e-01  2.08779129e-01  1.49999961e+00  9.27658359e-08  1.49999994e+00 
 1.34388404e-08  2.08785221e-01  2.08779129e-01  1.49999961e+00  9.27658218e-08  1.49999994e+00 
 1.45210363e-08  2.08785221e-01  2.08779127e-01  1.49999961e+00  9.27658095e-08  1.49999994e+00 
 1.51989719e-08  2.08785220e-01  2.08779126e-01  1.49999961e+00  9.27658034e-08  1.49999994e+00 
 1.59423008e-08  2.08785220e-01  2.08779125e-01  1.49999961e+00  9.27657979e-08  1.49999994e+00 
 1.68490168e-08  2.08785220e-01  2.08779124e-01  1.49999961e+00  9.27657940e-08  1.49999994e+00 
