 time            vcmp            p1              p2             
 0.00000000e+00  1.41527641e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-09  1.41500094e+00  1.50000000e-02  0.00000000e+00 
 2.00000000e-09  1.41469699e+00  3.00000000e-02  0.00000000e+00 
 4.00000000e-09  1.41406302e+00  6.00000000e-02  0.00000000e+00 
 8.00000000e-09  1.41270912e+00  1.20000000e-01  0.00000000e+00 
 1.12088796e-08  1.41152340e+00  1.68133194e-01  0.00000000e+00 
 1.37573920e-08  1.41051026e+00  2.06360880e-01  0.00000000e+00 
 1.60400167e-08  1.40954323e+00  2.40600251e-01  0.00000000e+00 
 1.97337734e-08  1.40784496e+00  2.96006601e-01  0.00000000e+00 
 2.12985215e-08  1.40707058e+00  3.19477822e-01  0.00000000e+00 
 2.33814513e-08  1.40598356e+00  3.50721769e-01  0.00000000e+00 
 2.55489704e-08  1.40477883e+00  3.83234556e-01  0.00000000e+00 
 2.82040558e-08  1.40319057e+00  4.23060837e-01  0.00000000e+00 
 3.08756475e-08  1.40145392e+00  4.63134712e-01  0.00000000e+00 
 3.21998302e-08  1.40053682e+00  4.82997453e-01  0.00000000e+00 
 3.31086174e-08  1.39988438e+00  4.96629260e-01  0.00000000e+00 
 3.37900959e-08  1.39938234e+00  5.06851439e-01  0.00000000e+00 
 3.44618312e-08  1.39887647e+00  5.16927468e-01  0.00000000e+00 
 3.52899491e-08  1.39573220e+00  5.29349236e-01  0.00000000e+00 
 3.56614664e-08  1.38871805e+00  5.34921996e-01  0.00000000e+00 
 3.61412045e-08  1.38089811e+00  5.42118068e-01  0.00000000e+00 
 3.67638571e-08  1.37194161e+00  5.51457856e-01  0.00000000e+00 
 3.73926034e-08  1.36313407e+00  5.60889051e-01  0.00000000e+00 
 3.86500960e-08  1.34621497e+00  5.79751440e-01  0.00000000e+00 
 4.11650813e-08  1.31424145e+00  6.17476220e-01  0.00000000e+00 
 4.41763967e-08  1.27476139e+00  6.62645950e-01  0.00000000e+00 
 4.84826240e-08  1.20571677e+00  7.27239360e-01  0.00000000e+00 
 5.07813572e-08  1.15936314e+00  7.61720359e-01  0.00000000e+00 
 5.21070169e-08  1.12970508e+00  7.81605254e-01  0.00000000e+00 
 5.36177064e-08  1.09365689e+00  8.04265596e-01  0.00000000e+00 
 5.50349534e-08  1.05857763e+00  8.25524301e-01  0.00000000e+00 
 5.78694474e-08  9.88581538e-01  8.68041712e-01  0.00000000e+00 
 6.29038192e-08  8.80438741e-01  9.43557288e-01  0.00000000e+00 
 6.81919171e-08  8.03274596e-01  1.02287876e+00  0.00000000e+00 
 6.99293716e-08  7.86764291e-01  1.04894057e+00  0.00000000e+00 
