 time            vcmp            p1              p2             
 0.00000000e+00  1.41527640e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-10  1.41526287e+00  1.50000000e-03  0.00000000e+00 
 2.00000000e-10  1.41523646e+00  3.00000000e-03  0.00000000e+00 
 4.00000000e-10  1.41517831e+00  6.00000000e-03  0.00000000e+00 
 8.00000000e-10  1.41505868e+00  1.20000000e-02  0.00000000e+00 
 1.60000000e-09  1.41481639e+00  2.40000000e-02  0.00000000e+00 
 3.20000000e-09  1.41431871e+00  4.80000000e-02  0.00000000e+00 
 6.40000000e-09  1.41326624e+00  9.60000000e-02  0.00000000e+00 
 1.09328002e-08  1.41162920e+00  1.63992004e-01  0.00000000e+00 
 1.31954622e-08  1.41073942e+00  1.97931934e-01  0.00000000e+00 
 1.51968738e-08  1.40990728e+00  2.27953107e-01  0.00000000e+00 
 1.72208168e-08  1.40901898e+00  2.58312252e-01  0.00000000e+00 
 1.96242726e-08  1.40789558e+00  2.94364089e-01  0.00000000e+00 
 2.09189095e-08  1.40725481e+00  3.13783643e-01  0.00000000e+00 
 2.25532911e-08  1.40641549e+00  3.38299367e-01  0.00000000e+00 
 2.41328864e-08  1.40556183e+00  3.61993296e-01  0.00000000e+00 
 2.61157792e-08  1.40442861e+00  3.91736688e-01  0.00000000e+00 
 2.85863042e-08  1.40292354e+00  4.28794563e-01  0.00000000e+00 
 3.16588947e-08  1.40088984e+00  4.74883421e-01  0.00000000e+00 
 3.34404632e-08  1.39960883e+00  5.01606948e-01  0.00000000e+00 
 3.44565619e-08  1.39884465e+00  5.16848428e-01  0.00000000e+00 
 3.51555261e-08  1.39830216e+00  5.27332891e-01  0.00000000e+00 
 3.57813826e-08  1.39779981e+00  5.36720738e-01  0.00000000e+00 
 3.66342576e-08  1.39604656e+00  5.49513864e-01  0.00000000e+00 
 3.69477132e-08  1.39071589e+00  5.54215698e-01  0.00000000e+00 
 3.74331038e-08  1.38289684e+00  5.61496557e-01  0.00000000e+00 
 3.78666822e-08  1.37689375e+00  5.68000233e-01  0.00000000e+00 
 3.84144626e-08  1.36930934e+00  5.76216938e-01  0.00000000e+00 
 3.95100233e-08  1.35431949e+00  5.92650350e-01  0.00000000e+00 
 4.17011448e-08  1.32544915e+00  6.25517173e-01  0.00000000e+00 
 4.44747885e-08  1.28811022e+00  6.67121828e-01  0.00000000e+00 
 4.83461814e-08  1.22628340e+00  7.25192721e-01  0.00000000e+00 
 4.92226946e-08  1.20980103e+00  7.38340420e-01  0.00000000e+00 
 4.96006825e-08  1.20232973e+00  7.44010237e-01  0.00000000e+00 
 4.97396352e-08  1.19952520e+00  7.46094528e-01  0.00000000e+00 
 4.97930380e-08  1.19843896e+00  7.46895569e-01  0.00000000e+00 
 4.98998435e-08  1.19625266e+00  7.48497652e-01  0.00000000e+00 
 4.99320197e-08  1.19559045e+00  7.48980295e-01  0.00000000e+00 
 4.99963721e-08  1.19426117e+00  7.49945581e-01  0.00000000e+00 
 5.00068933e-08  1.17141991e+00  7.50103399e-01  0.00000000e+00 
 5.00122408e-08  1.17182491e+00  7.50183612e-01  0.00000000e+00 
 5.00180095e-08  1.17800363e+00  7.50270142e-01  0.00000000e+00 
 5.00242667e-08  1.18807621e+00  7.50364001e-01  0.00000000e+00 
 5.00317399e-08  1.20081634e+00  7.50476099e-01  0.00000000e+00 
 5.00396189e-08  1.21368626e+00  7.50594284e-01  0.00000000e+00 
 5.00501309e-08  1.22946659e+00  7.50751963e-01  0.00000000e+00 
 5.00625955e-08  1.24617011e+00  7.50938933e-01  0.00000000e+00 
 5.00809933e-08  1.26751256e+00  7.51214900e-01  0.00000000e+00 
 5.01070729e-08  1.29227930e+00  7.51606093e-01  0.00000000e+00 
 5.01554717e-08  1.32440510e+00  7.52332076e-01  0.00000000e+00 
 5.02305099e-08  1.34954419e+00  7.53457648e-01  0.00000000e+00 
 5.03563112e-08  1.36123378e+00  7.55344668e-01  0.00000000e+00 
 5.04909775e-08  1.36008647e+00  7.57364663e-01  0.00000000e+00 
 5.06936758e-08  1.35575445e+00  7.60405136e-01  0.00000000e+00 
 5.09899112e-08  1.35120688e+00  7.64848667e-01  0.00000000e+00 
 5.15823820e-08  1.34418804e+00  7.73735729e-01  0.00000000e+00 
 5.27673236e-08  1.33018295e+00  7.91509853e-01  0.00000000e+00 
 5.51372068e-08  1.29950654e+00  8.27058102e-01  0.00000000e+00 
 5.98769732e-08  1.22341619e+00  8.98154598e-01  0.00000000e+00 
 6.59422690e-08  1.09084144e+00  9.89134035e-01  0.00000000e+00 
 7.28831218e-08  9.49365568e-01  1.09324683e+00  0.00000000e+00 
 7.81370533e-08  8.91425921e-01  1.17205580e+00  0.00000000e+00 
 8.40803992e-08  8.60371044e-01  1.26120599e+00  0.00000000e+00 
 9.13051258e-08  8.39247304e-01  1.36957689e+00  0.00000000e+00 
 9.94578519e-08  8.23341772e-01  1.49186778e+00  0.00000000e+00 
 1.00000000e-07  8.22513612e-01  1.50000000e+00  0.00000000e+00 
 1.00192018e-07  8.22235965e-01  1.50000000e+00  0.00000000e+00 
 1.00576053e-07  8.21820762e-01  1.50000000e+00  0.00000000e+00 
 1.01344125e-07  8.21392255e-01  1.50000000e+00  0.00000000e+00 
 1.02880267e-07  8.21164194e-01  1.50000000e+00  0.00000000e+00 
 1.05952552e-07  8.21176574e-01  1.50000000e+00  0.00000000e+00 
 1.12097121e-07  8.21238931e-01  1.50000000e+00  0.00000000e+00 
 1.22097121e-07  8.21251311e-01  1.50000000e+00  0.00000000e+00 
 1.32097121e-07  8.21248774e-01  1.50000000e+00  0.00000000e+00 
 1.42097121e-07  8.21247811e-01  1.50000000e+00  0.00000000e+00 
 1.52097121e-07  8.21247506e-01  1.50000000e+00  0.00000000e+00 
 1.62097121e-07  8.21247233e-01  1.50000000e+00  0.00000000e+00 
 1.72097121e-07  8.21246945e-01  1.50000000e+00  0.00000000e+00 
 1.82097121e-07  8.21246653e-01  1.50000000e+00  0.00000000e+00 
 1.92097121e-07  8.21246361e-01  1.50000000e+00  0.00000000e+00 
 2.02097121e-07  8.21246070e-01  1.50000000e+00  0.00000000e+00 
 2.12097121e-07  8.21245778e-01  1.50000000e+00  0.00000000e+00 
 2.22097121e-07  8.21245487e-01  1.50000000e+00  0.00000000e+00 
 2.32097121e-07  8.21245195e-01  1.50000000e+00  0.00000000e+00 
 2.42097121e-07  8.21244904e-01  1.50000000e+00  0.00000000e+00 
 2.52097121e-07  8.21244613e-01  1.50000000e+00  0.00000000e+00 
 2.62097121e-07  8.21244321e-01  1.50000000e+00  0.00000000e+00 
 2.72097121e-07  8.21244030e-01  1.50000000e+00  0.00000000e+00 
 2.82097121e-07  8.21243738e-01  1.50000000e+00  0.00000000e+00 
 2.92097121e-07  8.21243447e-01  1.50000000e+00  0.00000000e+00 
 3.02097121e-07  8.21243156e-01  1.50000000e+00  0.00000000e+00 
 3.12097121e-07  8.21242864e-01  1.50000000e+00  0.00000000e+00 
 3.22097121e-07  8.21242573e-01  1.50000000e+00  0.00000000e+00 
 3.32097121e-07  8.21242282e-01  1.50000000e+00  0.00000000e+00 
 3.42097121e-07  8.21241991e-01  1.50000000e+00  0.00000000e+00 
 3.52097121e-07  8.21241699e-01  1.50000000e+00  0.00000000e+00 
 3.62097121e-07  8.21241408e-01  1.50000000e+00  0.00000000e+00 
 3.72097121e-07  8.21241117e-01  1.50000000e+00  0.00000000e+00 
 3.82097121e-07  8.21240826e-01  1.50000000e+00  0.00000000e+00 
 3.92097121e-07  8.21240535e-01  1.50000000e+00  0.00000000e+00 
 4.02097121e-07  8.21240243e-01  1.50000000e+00  0.00000000e+00 
 4.12097121e-07  8.21239952e-01  1.50000000e+00  0.00000000e+00 
 4.22097121e-07  8.21239661e-01  1.50000000e+00  0.00000000e+00 
 4.32097121e-07  8.21239370e-01  1.50000000e+00  0.00000000e+00 
 4.42097121e-07  8.21239079e-01  1.50000000e+00  0.00000000e+00 
 4.52097121e-07  8.21238788e-01  1.50000000e+00  0.00000000e+00 
 4.62097121e-07  8.21238497e-01  1.50000000e+00  0.00000000e+00 
 4.72097121e-07  8.21238206e-01  1.50000000e+00  0.00000000e+00 
 4.82097121e-07  8.21237915e-01  1.50000000e+00  0.00000000e+00 
 4.92097121e-07  8.21237624e-01  1.50000000e+00  0.00000000e+00 
 5.02097121e-07  8.21237333e-01  1.50000000e+00  0.00000000e+00 
 5.12097121e-07  8.21237042e-01  1.50000000e+00  0.00000000e+00 
 5.22097121e-07  8.21236751e-01  1.50000000e+00  0.00000000e+00 
 5.32097121e-07  8.21236460e-01  1.50000000e+00  0.00000000e+00 
 5.42097121e-07  8.21236169e-01  1.50000000e+00  0.00000000e+00 
 5.52097121e-07  8.21235878e-01  1.50000000e+00  0.00000000e+00 
 5.62097121e-07  8.21235587e-01  1.50000000e+00  0.00000000e+00 
 5.72097121e-07  8.21235296e-01  1.50000000e+00  0.00000000e+00 
 5.82097121e-07  8.21235005e-01  1.50000000e+00  0.00000000e+00 
 5.92097121e-07  8.21234714e-01  1.50000000e+00  0.00000000e+00 
 6.02097121e-07  8.21234424e-01  1.50000000e+00  0.00000000e+00 
 6.12097121e-07  8.21234133e-01  1.50000000e+00  0.00000000e+00 
 6.22097121e-07  8.21233842e-01  1.50000000e+00  0.00000000e+00 
 6.32097121e-07  8.21233551e-01  1.50000000e+00  0.00000000e+00 
 6.42097121e-07  8.21233260e-01  1.50000000e+00  0.00000000e+00 
 6.52097121e-07  8.21232970e-01  1.50000000e+00  0.00000000e+00 
 6.62097121e-07  8.21232679e-01  1.50000000e+00  0.00000000e+00 
 6.72097121e-07  8.21232388e-01  1.50000000e+00  0.00000000e+00 
 6.82097121e-07  8.21232098e-01  1.50000000e+00  0.00000000e+00 
 6.92097121e-07  8.21231807e-01  1.50000000e+00  0.00000000e+00 
 7.02097121e-07  8.21231516e-01  1.50000000e+00  0.00000000e+00 
 7.12097121e-07  8.21231226e-01  1.50000000e+00  0.00000000e+00 
 7.22097121e-07  8.21230935e-01  1.50000000e+00  0.00000000e+00 
 7.32097121e-07  8.21230644e-01  1.50000000e+00  0.00000000e+00 
 7.42097121e-07  8.21230354e-01  1.50000000e+00  0.00000000e+00 
 7.52097121e-07  8.21230063e-01  1.50000000e+00  0.00000000e+00 
 7.62097121e-07  8.21229773e-01  1.50000000e+00  0.00000000e+00 
 7.72097121e-07  8.21229482e-01  1.50000000e+00  0.00000000e+00 
